Date,Open,High,Low,Close,SMA1,SMA2,Signal
1962-01-02,1.8374392903692993,1.8374392903692993,1.8167940378189085,1.8167940378189087,1.8167940378189087,1.8167940378189087,0.0
1962-01-03,1.816793451951137,1.8326743841171262,1.816793451951137,1.8326743841171265,1.8247342109680176,1.8247342109680176,0.0
1962-01-04,1.832673104308021,1.832673104308021,1.8136158627088228,1.8144099712371826,1.821292797724406,1.821292797724406,0.0
1962-01-05,1.8120278747846013,1.8120278747846013,1.7755012678332116,1.7786777019500732,1.8106390237808228,1.8106390237808228,0.0
1962-01-08,1.7770901499867326,1.7770901499867326,1.7310351321691324,1.7453280687332153,1.7975768327713013,1.7975768327713013,0.0
1962-01-09,1.7532674269607558,1.788205806772227,1.7532674269607558,1.7659721374511719,1.7923093835512798,1.7923093835512798,0.0
1962-01-10,1.7691508531570437,1.7770912648617527,1.7691508531570437,1.7691508531570435,1.7890010220663888,1.7890010220663888,0.0
1962-01-11,1.7739128162564675,1.7882057428359985,1.7739128162564675,1.7882057428359985,1.78890161216259,1.78890161216259,0.0
1962-01-12,1.7913835048675537,1.804088226745554,1.7913835048675537,1.7913835048675537,1.789177378018697,1.789177378018697,0.0
1962-01-15,1.797735205450834,1.8032935116045556,1.797735205450834,1.7993230819702148,1.7872361607021756,1.7901919484138489,0.0
1962-01-16,1.7977352960718318,1.7977352960718318,1.7802659273147583,1.7802659273147583,1.7814129988352458,1.789289582859386,0.0
1962-01-17,1.7723265642686965,1.7723265642686965,1.7469167752603432,1.7516810894012451,1.7744431230756972,1.7861555417378743,0.0
1962-01-18,1.7564455270767214,1.7739149073357725,1.7564455270767214,1.7564455270767212,1.7719728814231024,1.7838701559947088,0.0
1962-01-19,1.7564448194100115,1.7612091319664698,1.7373875691841785,1.758033037185669,1.7733845445844862,1.7820246475083488,0.0
1962-01-22,1.7580324361134554,1.7755014625909618,1.7532681251859177,1.7548562288284302,1.7721494436264038,1.7802134195963542,0.0
1962-01-23,1.7540625680457669,1.7564446673226486,1.7342113242411596,1.7373874187469482,1.7686201731363933,1.7775367945432663,0.0
1962-01-24,1.7373883797949625,1.746917009353638,1.7286539730848465,1.7469170093536377,1.7640325360827975,1.7757356307085823,0.0
1962-01-25,1.7469161507749107,1.7612090880881952,1.7246826927320238,1.7278589010238647,1.7569742467668321,1.7730758123927646,0.0
1962-01-26,1.7278595573693818,1.7342120899563083,1.7183309288743096,1.7191251516342163,1.748063365618388,1.7676497631602817,0.0
1962-01-29,1.719124928951887,1.7310356562327966,1.6897447109222414,1.6897447109222412,1.738005452685886,1.7597092257605658,0.0
